Restaurant,Address,Latitude,Longitude,Cusines,Photo_reference,Google_map_link
1 Tyrwhitt Bistro Bar,"1 Tyrwhitt Rd, Singapore 207522",1.3090539,103.8582653,"American, Bar, Italian, Vegetarian Friendly",ATtYBwJHh94FHtVM4LbQJGbvjofLbQyHTVIpZfRlsr9C4diDkc_EGrAQtO_bhDw4psxjyXh2cmtS192MkMzMMui-9sF4jdVIvxTvxoqteqsUdGxvqrZArb2cBEBO-4SPK9Y_AmJj-Ox6hBxpdK5-sMxHe57zy6k-8IGqsD7_SGWLT8_IKT5J,https://www.google.com/maps/search/?api=1&query=1+Tyrwhitt+Bistro+Bar
1-Altitude,"1 Raffles Place, 048616, Singapore 048616",1.2845183,103.8510033,"Australian, Fusion, Burgers",ATtYBwJAzsbB55jWeU4f57XFilbBhm2dm23PttxTosgOHOjktAmrZ-Y3Zvy7xbRt2YW3vQa9lOXzQvOjuDVRK270_zgGg--1OGZo0iTKksG9tu4Y5RVYjNQn4csHWo3u11qG7IBoiXtH29gzPnq3XZGDPbR1U_Su0IBCHC_oHxqyEJKYASze,https://www.google.com/maps/search/?api=1&query=1-Altitude
1-V:U – Restaurant and Day Club,"10 Artillery Ave, #07-01, Singapore 099951",1.2516182,103.8196195,Modern Asian,ATtYBwLMFVl1XWkEDZ-0PpX03UFstPdcxALTYcyFnog9pCikQ-_g30WUcgNI66otmjwfm97ZYD-LpMoPIx50EGZDt4jGjGWi4K2sUc6eY6AVd2IvU6owjBQPpyNiBDF5BYCNDiomKIVLvxmLo2yYR7mbgpZWOTUBS5ZYnoNHZUugKYQ9jaXP,https://www.google.com/maps/search/?api=1&query=1-V%3AU+%E2%80%93+Restaurant+and+Day+Club
13% Wine Bistro @ Telok Ayer,"123A Telok Ayer St, Singapore 068592",1.2812115,103.8480053,Modern European,ATtYBwJbqZFiLNwFXTxksr92KOzjnMWwxiWUap_bpCfZMmAAfDNhY6Xttv-mMpS0zoi5q-75vzazhMtn3YGpBh_EMPox0lch-0PV-4x4Lcu1pko5n8pS-sC7JWm__zn-8vmjHiN-jg8-Ro9pggjT-HzgTwdf2WsNHD7d2m4l4p_39xqAxx0_,https://www.google.com/maps/search/?api=1&query=13%25+Wine+Bistro+%40+Telok+Ayer
15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore),"15 Stamford Rd, Singapore 178906",1.293891,103.8513613,Modern Asian,ATtYBwLuQxbSLUvMDV8DSpeYD01FnQKnUzfajbZCn4wg_Rh35UCYEISso5cxDKFbdUMLgpnPkHj2bkTgd7A4GR6oHW57M9Z_SIj6fpkwqmDdZ_CWeNJwakxmAFYwvmUKE5vjRx5xM5UEzEqu2-8HaDI_bZZ0GISPbBOOYP6jU7dIBcZso7KW,https://www.google.com/maps/search/?api=1&query=15+Stamford+by+Alvin+Leung+%28The+Capitol+Kempinski+Hotel+Singapore%29
1864,"9 Wallich St, 5th floor Sofitel Singapore City Centre, Singapore 078885",1.2768672,103.8450661,"Bar, Fusion",ATtYBwLusiTOdHCCOqTkMBxVdHYrCkPGLUJy7DEUDI2diaOant57I95gDqckS2AG95ZmELSUZ6oc_VrQaZ4NZONcRPOzXVLhh0bd-EeVAzp9Z_IGSO1T9qXG4OwgK8IKveXTJXX6zapZzywTv9HLXDbEKUAtB6qS8FwHi5HYEE3LAbOuXxmJ,https://www.google.com/maps/search/?api=1&query=1864
1927,"35 Robinson Rd, Singapore 068876",1.2799543,103.8497048,"Bar, Modern European, Fusion",ATtYBwKoVwLZdSkkY5ysDpnf0AiqFN40Qm5zIPDBhlcpVfApB_cHXeENYzCuGVeUPToV3fNk_jVA4yyHEePW9U7CO44t_hX1N6rUlk1LX-YaxyPjLc6HyLz5mugoVDGrrcrZIbyeRaBIXbdj-zRqGoy0ysLzV68J7HckGCpKg8gGQbsJaWAb,https://www.google.com/maps/search/?api=1&query=1927
21 on Rajah,"1 Jln Rajah, Singapore 329133",1.3270478,103.847462,"Buffet, Vegetarian Friendly, Local, Halal Certified",ATtYBwIDsDoVriJokUNw7s-p-8Fz8fUBq7-l9pWfhMngN_rWxZGW_6Iv_bFswa-EUzCxwj8SwFk_6oSgUyxhWEKaGuk2sDPe--f7kFb7lBVVTBD8veBFXiV_1CmRf9CwwudzlW9KedFM0klZ-0j3SyGspEit44xn65vMOa4Q7SK_RFTY8i0F,https://www.google.com/maps/search/?api=1&query=21+on+Rajah
2D1N Soju Bang,"46 Tg Pagar Rd, Singapore 088467",1.2793456,103.8436934,"Korean, Vegetarian Friendly, BBQ",ATtYBwIoXpoYVxvF0iqq43mJ6J1aHs1YLxcPX5xr7Bp8cDskfgkm2dP4qIy_rUaRLROZ4fxoLoYBzLpE5CJ2EWliQZDjujbSX_0mtmY29h1AhSET4stnR79mXM65kRYRCnZ3KKfuRTb4DT3jm2a9SfImYi4YcyH-OGzmnTW47V2d1kx5g1si,https://www.google.com/maps/search/?api=1&query=2D1N+Soju+Bang
49 Seats,"176 Orchard Rd, #01-49 The Centrepoint, Singapore 238843",1.3020876,103.8399401,"Fusion, Local",ATtYBwJV6xxi3bOrAx6fXOla-CdGUFk-jqnAH0I1UuQ23KeNpVkUkQqt4UEzjIWNUFn2HUUNnQkuGFMz-HzXPLUKQybMBbIVCGQwtCPLEhUo8AEq0LbqwH5puWVSbpw1Scl-yk5Lc65rCX6AIuVb0OGbVNRqn7JfcDLM_0_HCTSQNGBWsLmQ,https://www.google.com/maps/search/?api=1&query=49+Seats
5 Senses Bistro (Funan Mall),"107 North Bridge Rd, #02-17, Singapore 179105",1.2914279,103.8500794,"Modern European, French, Fusion, Seafood, Cafe",ATtYBwJ0Mzbd6yEW7qvO3lelOlv4utkDjeQr7J5qFDnFra5ViUaeTJeWIDx5Zj4Fc5ClSr2NCZ475ttrnsJa2RrIlbtAAdNB509Ohjc9p_44l2E3BUYdtA_EpSVAEQkosdfG3aadh1KpDfPKqIdllHkdDQC_vcqts0KbCGJy1OwDTkLCLu_B,https://www.google.com/maps/search/?api=1&query=5+Senses+Bistro+%28Funan+Mall%29
5 Senses Bistro (The Star Vista),"1 Vista Exchange Green, #02-21 The Star Vista, Singapore 138617",1.3067634,103.7884236,"Bar, Japanese, International, Seafood",ATtYBwKBf-3oTVr5ymP5dZBgpos0UyxJnKFw5WimLswbUV07qyxTpjoMH_Bf5yd7fupSWS_YQESNpSuy05DsvpfwRrpwo7zqIlwMEHzVdUrNXnjw5VlItaBGLr_xCkLrxaMKjYNDGKm4Eo6gkmVAFLq8iLO-IPZu2EzjnNKH3Va5CBDLnE3h,https://www.google.com/maps/search/?api=1&query=5+Senses+Bistro+%28The+Star+Vista%29
51 Soho,"51 Telok Ayer St, #01-01, Singapore 048441",1.2829964,103.8491447,"Modern European, Modern Asian",ATtYBwK5xEYvsL62Y418HYQv-NEE26Fio4x9MVBvCbLv07dNhMgPDOtZHYrtD3svXSSzcTE2v_LOiOfqFLYEghsnzvXd_zer0X7Rnnl2j1TIlczGhQQYvKxesFguR50leSCG7oudrUMsmlA6k2xJtj9Cd8-x_m2wXyR8wKh_b2nQL6pBkyHU,https://www.google.com/maps/search/?api=1&query=51+Soho
566 Seafood & Beer Garden At Mandai Hill,"566 Woodlands Rd, Singapore 728697",1.407877,103.757136,"Chinese, Seafood",ATtYBwI57uZXYqFrdsQUC_qqLsKDm2qOHC4tK8BSLEMJhr3LGv4hp0Mmg1azJJeaSicTUJxJGGBy7LQadmNrMQ2JHY2DllCstAiGTwB81NLFydLTr-I5aWJAmQ4PxYJsr18LIql0Lkmpj-0ECgBBdswtjPodV-xdUzwdy4RQ9J2knzRhL6Vm,https://www.google.com/maps/search/?api=1&query=566+Seafood+%26+Beer+Garden+At+Mandai+Hill
6ix 6ix 六六,"23 Cuppage Road Cuppage Terrace, Singapore 229453",1.3018697,103.8402826,"Bar, Chinese, Seafood, Vegetarian Friendly, BBQ",ATtYBwID_aeRNHJz2b0FF_O6ajTMVEoq3xb-vh5OQ_NEZzVkTKL-FYk4p_kRtXSrJtiwd8PajuMhmSV3fntYFAPTKYkz8DCy6lsvz__JUfQ2apKRvijDf9Pt1J_VrtMl6z2tXEGdQUZCLSzmm5fWK4T0RIYB-PxMnDaSCVGVavpmnyEr8f2v,https://www.google.com/maps/search/?api=1&query=6ix+6ix+%E5%85%AD%E5%85%AD
8 Korean BBQ (Shaw Centre),"1 Scotts Rd, #04 - 20 / 21, Singapore 228208",1.3062411,103.8318312,"Korean, BBQ",ATtYBwJup_t9PeT-40tzVRgngOY39tVE6d9J2qNIPyxJgOwo5uP3gJyxvMRhEt1P9kvxOlsAV_0gl7fIwMTFuhl6gAehvfa2BRMBwG-BvEFavKNBxw18OeNnwtRnX3DWQsdSSlxrS-r8et0NyKP_ODs9edb4J5wTGdAYcNK0-M9N1XEo5C3w,https://www.google.com/maps/search/?api=1&query=8+Korean+BBQ+%28Shaw+Centre%29
8 Korean BBQ (The Central),"6 Eu Tong Sen St, #02-79/90 The Central, Singapore 059817",1.2892725,103.8463546,"Korean, BBQ",ATtYBwKHfUwkazPiHvW1q49OciKLY4NsADafSxOQxNxeHaWjyPROIYYkO8iopI6TfpPBKcyF6o2V8LGxjoGYIW5k5cG3RkayM1DHK7K_PNmWstO22ekLF9CnWHB5I_Pq0e2RwpqTKapr_km5Z76gaP0lFaXkVl4Ps7IY4nDtGLuh6BUMW8K1,https://www.google.com/maps/search/?api=1&query=8+Korean+BBQ+%28The+Central%29
9th ave.,Singapore 737729,1.4443316,103.783537,"All-Day Breakfast, Cafe",ATtYBwKFp_9fEQOAngPn6Fw3bHSV3fmM0zB4Ol7QYDlqAy3GtrcunHdUkhTkchAHUkR1S2_MWEaF42EgLAVnqeXiV2hMijqX_k06UA1L0Y0P5oucXRSGWkg5fulEHIPouJZBmfNccyENdhikQrbcGeke8gZ9ptoQmQGcnRYREAgq8j1pTce8,https://www.google.com/maps/search/?api=1&query=9th+ave.
Aburiya (Boat Quay),"79 Boat Quay, Singapore 049867",1.2883575,103.8492665,"Bar, Japanese, Burgers, BBQ",ATtYBwL9RI532UPVSxARS6wsD9KYabsU7mOp8hHYYl3uVU42R-8Ksg3n08sBT76LWk0A3mjX63nU2lTSYnl05exX9TyjM9hBgdAq-pCnXI3rVHma_04vuJ3yH9n5p007A6HuhuTugOffynNieaDsf6b7fe0B3i62pgnDbJxbGvV_e3MN_3dD,https://www.google.com/maps/search/?api=1&query=Aburiya+%28Boat+Quay%29
