Restaurant,Address,Coordinates,Cusines
1 Tyrwhitt Bistro Bar,1 Tyrwhitt Road Singapore (207522),"1.3090771, 103.858211","American, Bar, Italian, Vegetarian Friendly"
1-Altitude,1 Raffles Place Level 63Singapore,"1.2829077, 103.8513873","Australian, Fusion, Burgers"
1-V:U – Restaurant and Day Club,"10 Artillery Ave The Outpost Hotel, Level 7Singapore (099951)","1.2518488, 103.8198682",Modern Asian
10 SCOTTS,"Grand Hyatt Singapore,10 Scotts Road,Lobby Level, Singapore (228211)","1.3065838, 103.8331003","Bar, Buffet, Japanese, Seafood, British"
13% Wine Bistro @ Telok Ayer,123A Telok Ayer Street Singapore (068592),"1.2812115, 103.8480053",Modern European
15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore),15 Stamford Road The Capitol Kempinski Hotel Singapore (178906),"1.293891, 103.8513613",Modern Asian
1864,9 Wallich Street Sofitel Singapore City Centre Singapore (078885),"1.2768338, 103.8454143","Bar, Fusion"
1927,35 Robinson Road Singapore (068876),"1.2799728, 103.8497276","Bar, Modern European, Fusion"
21 on Rajah,1 Jalan Rajah Singapore (329133),"1.3269818, 103.8475066","Buffet, Vegetarian Friendly, Local, Halal Certified"
2D1N Soju Bang,44/46 Tanjong Pagar Road Singapore (08846),"1.2793185, 103.8437729","Korean, Vegetarian Friendly, BBQ"
49 Seats,176 Orchard Road#01-49The Centrepoint Singapore (238843),"1.3021165, 103.839761","Fusion, Local"
5 Senses Bistro (Funan Mall),107 North Bridge Road#02-17Funan Mall Singapore (179105),"1.291321, 103.8500832","Modern European, French, Fusion, Seafood, Cafe"
5 Senses Bistro (The Star Vista),1 Vista Exchange Green#02-21The Star Vista Singapore (138617),"1.3067634, 103.7884236","Bar, Japanese, International, Seafood"
51 Soho,51 Telok Ayer Street#01-01Singapore (048441),"1.2829964, 103.8491447","Modern European, Modern Asian"
566 Seafood & Beer Garden At Mandai Hill,566 Woodlands Road Singapore (728697),"1.408016, 103.7574289","Chinese, Seafood"
665°F,5 Fraser Street Level 38Andaz Singapore Singapore (189354),"1.2992107, 103.8577253",Steakhouse
6ix 6ix 六六,23 Cuppage Road Singapore (229453),"1.301676, 103.8401411","Bar, Chinese, Seafood, Vegetarian Friendly, BBQ"
7th Heaven KTV & Cafe,1/A Tampines Street 92#03-02SAFRA Tampines Singapore (528882),"1.3445675, 103.9417986","Bar, Fusion, Cafe"
8 Korean BBQ (Shaw Centre),1 Scotts Road#04-20/21Shaw Centre Singapore (228208),"1.3062411, 103.8318312","Korean, BBQ"
8 Korean BBQ (The Central),6 Eu Tong Sen Street#02-79//90The Central Singapore (059817),"1.2892725, 103.8463546","Korean, BBQ"
9th ave.,43 Woodlands Avenue 9SIT@RP Singapore (737729),"1.4440819, 103.7837001","All-Day Breakfast, Cafe"
A*MUSE Social Gathering,333 New Bridge Road Singapore (088765),"1.2796464, 103.8400603","American, Bar, Buffet, International, Seafood, All-Day Breakfast, British, Vegetarian Friendly, Local, Peranakan, Cafe"
Aburiya (Boat Quay),79 Boat Quay Singapore (049867),"1.2883575, 103.8492665","Bar, Japanese, Burgers, BBQ"
Acqua e Farina,400 Upper Bukit Timah Road Singapore (678050),"1.3581309, 103.7678974","Italian, Vegetarian Friendly"
Adrift by David Myers,10 Bayfront Avenue Tower 2 Lobby Marina Bay Sands Singapore (018956),"1.2834492, 103.8589451",American
Afterglow,24 Keong Saik Road Singapore (089131),"1.2801053, 103.8416799",Vegetarian
Ah Hoi's Kitchen,1A Cuscaden Road Level 4Hotel Jen Tanglin Singapore Singapore (249716),"1.304358, 103.82392","Chinese, Seafood, Local, Peranakan, Zi Char"
Ah Ter Teochew Fishball Noodle Bar,5 Lorong Telok Singapore (049018),"1.2870334, 103.8487157","Chinese, Local"
Ahtti Korean Restaurant,2 Venture Drive#02-43Vision Exchange Singapore (608526),"1.3299165, 103.7445695",Korean
