,Address,Cusines,Restaurant,Latitude,Longitude,Clusters
0,1 Tyrwhitt Road Singapore (207522),"American, Bar, Italian, Vegetarian Friendly",1 Tyrwhitt Bistro Bar,1.3090771,103.858211,8
1,1 Raffles Place Level 63Singapore,"Australian, Fusion, Burgers",1-Altitude,1.2829077,103.8513873,49
2,"10 Artillery Ave The Outpost Hotel, Level 7Singapore (099951)",Modern Asian,1-V:U – Restaurant and Day Club,1.2518488,103.8198682,14
3,"Grand Hyatt Singapore,10 Scotts Road,Lobby Level, Singapore (228211)","Bar, Buffet, Japanese, Seafood, British",10 SCOTTS,1.3065838,103.8331003,11
4,123A Telok Ayer Street Singapore (068592),Modern European,13% Wine Bistro @ Telok Ayer,1.2812115,103.8480053,4
5,15 Stamford Road The Capitol Kempinski Hotel Singapore (178906),Modern Asian,15 Stamford by Alvin Leung (The Capitol Kempinski Hotel Singapore),1.293891,103.8513613,16
6,9 Wallich Street Sofitel Singapore City Centre Singapore (078885),"Bar, Fusion",1864,1.2768338,103.8454143,31
7,35 Robinson Road Singapore (068876),"Bar, Modern European, Fusion",1927,1.2799728,103.8497276,4
8,1 Jalan Rajah Singapore (329133),"Buffet, Vegetarian Friendly, Local, Halal Certified",21 on Rajah,1.3269818,103.8475066,26
9,44/46 Tanjong Pagar Road Singapore (08846),"Korean, Vegetarian Friendly, BBQ",2D1N Soju Bang,1.2793185,103.8437729,31
10,176 Orchard Road#01-49The Centrepoint Singapore (238843),"Fusion, Local",49 Seats,1.3021165,103.839761,38
11,107 North Bridge Road#02-17Funan Mall Singapore (179105),"Modern European, French, Fusion, Seafood, Cafe",5 Senses Bistro (Funan Mall),1.291321,103.8500832,24
12,1 Vista Exchange Green#02-21The Star Vista Singapore (138617),"Bar, Japanese, International, Seafood",5 Senses Bistro (The Star Vista),1.3067634,103.7884236,9
13,51 Telok Ayer Street#01-01Singapore (048441),"Modern European, Modern Asian",51 Soho,1.2829964,103.8491447,4
14,566 Woodlands Road Singapore (728697),"Chinese, Seafood",566 Seafood & Beer Garden At Mandai Hill,1.408016,103.7574289,13
15,5 Fraser Street Level 38Andaz Singapore Singapore (189354),Steakhouse,665°F,1.2992107,103.8577253,16
16,23 Cuppage Road Singapore (229453),"Bar, Chinese, Seafood, Vegetarian Friendly, BBQ",6ix 6ix 六六,1.301676,103.8401411,38
17,1/A Tampines Street 92#03-02SAFRA Tampines Singapore (528882),"Bar, Fusion, Cafe",7th Heaven KTV & Cafe,1.3445675,103.9417986,15
18,1 Scotts Road#04-20/21Shaw Centre Singapore (228208),"Korean, BBQ",8 Korean BBQ (Shaw Centre),1.3062411,103.8318312,11
19,6 Eu Tong Sen Street#02-79//90The Central Singapore (059817),"Korean, BBQ",8 Korean BBQ (The Central),1.2892725,103.8463546,24
20,43 Woodlands Avenue 9SIT@RP Singapore (737729),"All-Day Breakfast, Cafe",9th ave.,1.4440819,103.7837001,19
21,333 New Bridge Road Singapore (088765),"American, Bar, Buffet, International, Seafood, All-Day Breakfast, British, Vegetarian Friendly, Local, Peranakan, Cafe",A*MUSE Social Gathering,1.2796464,103.8400603,31
22,79 Boat Quay Singapore (049867),"Bar, Japanese, Burgers, BBQ",Aburiya (Boat Quay),1.2883575,103.8492665,24
